Name,Team,Game Played,AB,Run,Hit,Double,Triple,Homerun,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Ha-Seong Kim,SD,12,43,8,8,3,0,0,3,6,14,1,1,0.186,0.286,0.256,0.542
Josh Donaldson,NYY,9,29,1,5,1,0,0,0,7,16,0,0,0.172,0.333,0.207,0.54
Gavin Lux,LAD,4,13,0,3,1,0,0,1,0,5,0,0,0.231,0.231,0.308,0.539
Whit Merrifield,TOR,2,5,0,1,0,0,0,0,0,0,0,0,0.2,0.333,0.2,0.533
Ty France,SEA,5,26,1,6,1,0,0,2,1,6,0,0,0.231,0.259,0.269,0.528
Josh Naylor,CLE,7,31,2,6,1,0,1,3,0,6,0,0,0.194,0.194,0.323,0.517
Adam Frazier,SEA,5,23,3,5,1,0,0,1,1,5,0,0,0.217,0.25,0.261,0.511
Albert Pujols,STL,2,8,0,2,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
Jean Segura,PHI,17,56,4,12,2,0,0,7,2,14,1,0,0.214,0.25,0.25,0.5
Mookie Betts,LAD,4,14,2,2,1,0,0,1,3,4,0,1,0.143,0.278,0.214,0.492
Aaron Judge,NYY,9,36,5,5,0,0,2,3,2,15,1,0,0.139,0.184,0.306,0.49
Will Smith,LAD,4,16,2,3,2,0,0,2,0,2,0,0,0.188,0.176,0.313,0.489
ose Altuve,HOU,13,58,8,11,3,0,0,0,4,14,1,1,0.19,0.242,0.241,0.483
Nick Castellanos,PHI,17,65,8,12,4,0,0,7,3,18,0,0,0.185,0.232,0.246,0.478
Trayce Thompson,LAD,4,13,1,2,0,0,0,0,3,6,0,0,0.154,0.313,0.154,0.467
Justin Turner,LAD,4,13,0,2,0,0,0,0,3,3,0,0,0.154,0.313,0.154,0.467
Jeff McNeil,NYM,3,11,1,2,1,0,0,2,0,1,0,0,0.182,0.182,0.273,0.455
Tommy Edman ,STL,2,6,0,1,0,0,0,0,1,1,0,0,0.167,0.286,0.167,0.453
Myles Straw,CLE,7,25,1,4,1,0,0,0,2,3,1,0,0.16,0.222,0.2,0.422
Andres Gimenez,CLE,7,28,1,5,1,0,0,1,1,14,1,0,0.179,0.207,0.214,0.421
Gleyber Torres,NYY,9,34,4,6,0,0,0,2,3,10,2,0,0.176,0.243,0.176,0.419
Starling Marte,NYM,3,12,0,2,0,0,0,0,1,1,2,0,0.167,0.231,0.167,0.398
Dansby Swanson,ATL,4,16,3,2,1,0,0,0,1,7,0,0,0.125,0.176,0.188,0.364
